B0001,121.521027,31.090162
B0002,121.360573,31.249374
B0003,121.181175,31.191994
B0004,121.538063,31.050018
B0005,121.371361,31.258888
B0006,121.199547,31.120951
B0007,121.519409,31.129824
B0008,121.369026,31.247499
B0009,121.212746,31.156931
B0010,121.486984,31.076675
B0011,121.477715,31.088678
B0012,121.505684,30.988565
B0013,121.495461,31.017412
B0014,121.466034,31.038271
B0015,121.202805,31.050377
B0016,121.427757,31.16918
B0017,121.407448,31.158552
B0018,121.414864,31.159676
B0019,121.411522,31.169008
B0020,121.427505,31.158844
B0021,121.199493,31.050938
B0022,121.199493,31.050938
B0023,121.208267,31.038284
B0024,121.199493,31.050938
B0025,121.217873,31.042234
B0026,121.202805,31.050377
B0027,121.197113,31.054916
B0028,121.192482,31.04207
B0029,121.202805,31.050377
B0030,121.199493,31.050938
B0031,121.3741,31.310312
B0032,121.386475,31.314816
B0033,121.386475,31.314816
B0034,121.452629,31.280823
B0035,121.449608,31.270027
B0036,121.447098,31.286261
B0037,121.452202,31.287878
B0038,121.421753,31.145002
B0039,121.421753,31.145002
B0040,121.421753,31.145002
